company,stock_code,patent_no,title,type,holder,acquisition,application_date,relation_to_claim
绿的谐波,688017.SH,ZL201210205955.1,一种带柔性外轮的谐波减速器,发明专利,绿的谐波,继受取得,2012-06-21,整机结构核心专利
绿的谐波,688017.SH,ZL201410120010.9,带U形凹槽键的谐波减速器,发明专利,绿的谐波,原始取得,2014-03-28,结构/连接设计
绿的谐波,688017.SH,ZL201510357524.0,一种分离式锥面连接装置,发明专利,绿的谐波,原始取得,2015-06-25,装配/连接技术
绿的谐波,688017.SH,ZL201610916562.X,一种电磁离合谐波减速器,发明专利,绿的谐波,原始取得,2016-10-21,谐波减速器整机
绿的谐波,688017.SH,ZL201610916631.7,一种视觉引导机器人自动螺纹检测系统,发明专利,绿的谐波,原始取得,2016-10-21,检测/工艺
绿的谐波,688017.SH,CN109185424B / ZL201821926183.X,带密封性深沟球轴承的新型谐波减速器,发明专利,绿的谐波,原始取得,2018-11-21,轴承密封一体化，提升效率
绿的谐波,688017.SH,CN110332229B,一种复合型密封结构的十字交叉滚子轴承,发明专利,绿的谐波,原始取得,,轴承/密封
环动科技,子公司 of 002472.SZ,CN2014105944495,RV减速器传动特性测试系统,发明专利,环动科技,继受取得,,测试/验证
环动科技,子公司 of 002472.SZ,CN201811574284X,RV减速器力矩与噪音精密测量装置及其方法,发明专利,环动科技,继受取得,,测试/验证
环动科技,子公司 of 002472.SZ,CN2018116361258,一种RV减速器倾覆刚性测试装置,发明专利,环动科技,继受取得,,测试/验证
环动科技,子公司 of 002472.SZ,CN2021105646091,一种机器人用摆线针轮减速器滚针安装的内摩擦力测量装置,发明专利,环动科技,原始取得,,测试/验证
环动科技,子公司 of 002472.SZ,CN2018115742407,一种RV减速器无污染气密性快速测量装置及其方法,发明专利,环动科技,继受取得,,测试/验证
环动科技,子公司 of 002472.SZ,CN2022108263071,一种摆线针轮行星减速器,发明专利,环动科技,原始取得,,RV减速器结构
环动科技,子公司 of 002472.SZ,CN2021113371885,一种超低速比高刚性高精度摆线针轮行星传动减速器,发明专利,环动科技,原始取得,,RV减速器结构/性能
环动科技,子公司 of 002472.SZ,CN2021112690811,一种偏置型行星减速装置,发明专利,环动科技,原始取得,,行星减速装置
环动科技,子公司 of 002472.SZ,CN2022103431259,一种摆线齿轮齿廓设计方法,发明专利,环动科技,原始取得,,齿形设计
环动科技,子公司 of 002472.SZ,CN2022107515728,一种降低振动噪声的摆线针轮行星传动装置的制造方法,发明专利,环动科技,原始取得,,制造工艺/噪声
环动科技,子公司 of 002472.SZ,CN2022107515249,一种降低效率损失的摆线轮针轮行星传动装置及其制造方法,发明专利,环动科技,原始取得,,效率/制造工艺
环动科技,子公司 of 002472.SZ,CN2018114944219,一种行星减速装置,发明专利,环动科技,继受取得,,行星减速装置
环动科技,子公司 of 002472.SZ,CN2018115753079,谐波用波发生器柔性轴承精密装配工装及方法,发明专利,环动科技,继受取得,,谐波减速器装配
环动科技,子公司 of 002472.SZ,CN2018115564293,一种强制油润滑的谐波减速器及其方法,发明专利,环动科技,继受取得,,谐波减速器润滑
环动科技,子公司 of 002472.SZ,CN2018115254155,一种紧凑型摆线行星谐波变速装置及其变速方法,发明专利,环动科技,继受取得,,谐波/摆线复合结构
步科股份,688160.SH,ZL201821789084.5,一种无框电机测试设备,实用新型,常州精纳,,2018-10-31,测试设备
步科股份,688160.SH,ZL201821789207.1,一种电机热套防歪/防重装置,实用新型,常州精纳,,2018-10-31,装配工艺
步科股份,688160.SH,ZL201821721561.0,伺服电机定子铁芯激光焊接工装,实用新型,常州精纳,,2018-10-23,定子工艺
步科股份,688160.SH,ZL201821721895.8,一种伺服电机用转子组件,实用新型,常州精纳,,2018-10-23,转子结构
步科股份,688160.SH,ZL201821789266.9,伺服电机转子纤维缠绕装置,实用新型,常州精纳,,2018-10-31,转子工艺
步科股份,688160.SH,ZL201821789046.6,伺服电机快速……设备,实用新型,常州精纳,,2018-10-31,工艺设备（名称待核对）
步科股份,688160.SH,ZL201821730676.6,伺服电机无工装错位转子铁芯,实用新型,常州精纳,,2018-10-23,转子结构
步科股份,688160.SH,ZL201821789209.0,伺服电机轴承压装工装,实用新型,常州精纳,,2018-10-31,装配工艺
