metric,year,value,unit,source_notes
中国工业机器人销量,2019,15.31,万台,环动科技招股书引用GGII
中国工业机器人销量,2023,31.60,万台,环动科技招股书引用GGII
中国工业机器人销量CAGR,2019-2023,19.86,%,环动科技招股书引用GGII
中国工业机器人减速器总需求量,2019,44.16,万台,环动科技招股书引用GGII
中国工业机器人减速器总需求量,2023,118.94,万台,环动科技招股书引用GGII
中国工业机器人减速器需求量CAGR,2019-2023,28.11,%,环动科技招股书引用GGII
中国工业机器人国产化率,2022,35.7,%,环动科技招股书引用GGII
中国工业机器人国产化率,2023,45.1,%,环动科技招股书引用GGII
绿的谐波2024年谐波减速器销量,2024,24.65,万台,国信证券研报
绿的谐波谐波减速器销量同比增速,2024,16.56,%,国信证券研报
工业机器人单台谐波减速器用量,参考,3.5,台/套,源达信息研报引用MIR睿工业
工业机器人单台RV减速器用量,参考,2,台/套,源达信息研报引用MIR睿工业
Tesla Optimus关节数量,参考,40,个,国金证券研报
