item,unit,2024_actual,2025_estimate,2026_estimate,2027_estimate,source_notes
谐波减速器销量,万台,100,130,180,250,年报+预测
关节模组销量,万台,5,20,50,100,预测
ASP_谐波减速器,元/台,1200,1150,1100,1050,年报+竞争
ASP_关节模组,元/台,2500,2400,2200,2000,预测
单位材料成本_谐波减速器,元/台,600,580,560,540,BOM
单位材料成本_关节模组,元/台,1500,1450,1350,1250,BOM
毛利率_谐波减速器,%,45,47,49,51,计算
毛利率_关节模组,%,40,42,45,48,计算
营业收入_谐波减速器,亿元,12.0,14.95,19.8,26.25,销量×ASP
营业收入_关节模组,亿元,1.25,4.8,11.0,20.0,销量×ASP
总营业收入,亿元,13.25,19.75,30.8,46.25,合计
综合毛利率,%,43,45,47,49,加权
销售费用率,%,3,3,3,3,年报
管理费用率,%,8,8,8,8,年报
研发费用率,%,10,10,10,10,年报
净利润率,%,18,19,20,21,预测
净利润,亿元,2.39,3.75,6.16,9.71,总营收×净利润率
